"Date","Price","Open","High","Low","Change %"
"Jun 07, 2016","0.7833","0.7910","0.8070","0.7750","-2.00%"
"Jun 06, 2016","0.7993","0.7880","0.8270","0.7790","2.02%"
"Jun 05, 2016","0.7835","0.7795","0.7835","0.7795","1.02%"
"Jun 03, 2016","0.7756","0.8990","0.8990","0.7680","-12.15%"
"Jun 02, 2016","0.8829","0.9030","0.9110","0.8790","-2.19%"
"Jun 01, 2016","0.9027","0.8790","0.9070","0.8630","2.24%"
"May 31, 2016","0.8829","0.9380","0.9380","0.8750","-5.50%"
"May 30, 2016","0.9343","0.9699","0.9699","0.9303","2.60%"
"May 27, 2016","0.9106","0.8750","0.9140","0.8750","4.07%"
"May 26, 2016","0.8750","0.9220","0.9220","0.8670","-5.55%"
"May 25, 2016","0.9264","0.9180","0.9380","0.9140","1.41%"
"May 24, 2016","0.9135","0.9050","0.9300","0.8970","1.39%"
"May 23, 2016","0.9010","0.8760","0.9130","0.8760","2.34%"
"May 22, 2016","0.8804","0.8844","0.8844","0.8804","-0.45%"
"May 20, 2016","0.8844","0.8880","0.9010","0.8760","0.06%"
"May 19, 2016","0.8839","0.9000","0.9200","0.8680","-1.79%"
"May 18, 2016","0.9000","0.8390","0.9120","0.8310","8.33%"
"May 17, 2016","0.8308","0.7900","0.8350","0.7820","5.66%"
"May 16, 2016","0.7863","0.7540","0.7900","0.7500","4.84%"
"May 15, 2016","0.7500","0.7500","0.7500","0.7459","0.00%"
"May 13, 2016","0.7500","0.7580","0.7860","0.7460","-1.06%"
"May 12, 2016","0.7580","0.7340","0.7660","0.7260","3.28%"
"May 11, 2016","0.7339","0.7260","0.7380","0.7140","1.65%"
"May 10, 2016","0.7220","0.7180","0.7380","0.7180","1.69%"
"May 09, 2016","0.7100","0.7420","0.7420","0.7100","-3.79%"
"May 08, 2016","0.7380","0.7460","0.7460","0.7380","0.54%"
"May 06, 2016","0.7340","0.7300","0.7540","0.6860","2.20%"
"May 05, 2016","0.7182","0.7500","0.7620","0.7180","-3.22%"
"May 04, 2016","0.7421","0.7620","0.7700","0.7380","-1.58%"
"May 03, 2016","0.7540","0.7820","0.7820","0.7420","-4.98%"
"May 02, 2016","0.7935","0.7780","0.8020","0.7700","1.52%"
"May 01, 2016","0.7816","0.7816","0.7856","0.7777","0.00%"
"Apr 29, 2016","0.7816","0.7940","0.8090","0.7700","-1.00%"
"Apr 28, 2016","0.7895","0.8130","0.8290","0.7820","-3.86%"
"Apr 27, 2016","0.8212","0.8610","0.8810","0.8170","-5.04%"
"Apr 26, 2016","0.8648","0.8370","0.8730","0.8370","3.69%"
"Apr 25, 2016","0.8340","0.8260","0.8340","0.8050","0.48%"
"Apr 24, 2016","0.8300","0.8300","0.8300","0.8300","1.00%"
"Apr 22, 2016","0.8218","0.8140","0.8300","0.7970","1.99%"
"Apr 21, 2016","0.8058","0.7980","0.8180","0.7940","1.00%"
"Apr 20, 2016","0.7978","0.7570","0.8100","0.7450","4.78%"
"Apr 19, 2016","0.7614","0.7580","0.7740","0.7450","2.13%"
"Apr 18, 2016","0.7455","0.7210","0.7530","0.7170","3.92%"
"Apr 17, 2016","0.7174","0.7376","0.7376","0.7174","-2.74%"
"Apr 15, 2016","0.7376","0.7700","0.7740","0.7290","-4.25%"
"Apr 14, 2016","0.7703","0.7580","0.7740","0.7500","2.65%"
"Apr 13, 2016","0.7504","0.7430","0.7660","0.7300","1.61%"
"Apr 12, 2016","0.7385","0.7030","0.7425","0.6987","5.70%"
"Apr 11, 2016","0.6987","0.7070","0.7190","0.6910","-0.61%"
"Apr 10, 2016","0.7030","0.6989","0.7030","0.6989","0.59%"
