Date,Open_USD_CHF,Open_CHF_EUR,Open_CHF_GBP,Open_CHF_JPY,Open_CHF_CAD,Open_USD_JPY,Open_USD_EUR,Open_USD_GBP,Open_USD_CAD,Prev_Close_USD_CHF,Prev_Close_BondCH1m,Prev_Close_BondCH2y,Prev_Close_BondCH10y,Prev_Close_SMI,Prev_Close_BondUS1m,Prev_Close_BondUS2y,Prev_Close_BondUS10y,Prev_Close_SP500
2006-09-21,1.251,0.6297,0.4233,93.71,0.9015,117.28,0.7881,0.5297,1.1277,1.2515,1.64,2.049,2.436,8342.37,4.706,4.822,4.733,1325.18
2006-09-22,1.2423,0.6296,0.423,93.65,0.8993,116.37,0.7824,0.5257,1.1174,1.2425,1.64,2.037,2.438,8373.61,4.7,4.703,4.642,1318.03
2006-09-25,1.2357,0.6325,0.4256,94.22,0.9039,116.45,0.7819,0.5261,1.1176,1.2361,1.61,1.972,2.388,8294.48,4.714,4.672,4.591,1314.78
2006-09-26,1.2386,0.6329,0.4246,94.05,0.9013,116.54,0.7844,0.5262,1.1172,1.2389,1.63,2.002,2.378,8270.52,4.703,4.646,4.544,1326.37
2006-09-27,1.2437,0.6337,0.4242,94.1,0.8946,117.08,0.7883,0.5279,1.1134,1.2435,1.63,1.975,2.348,8382.75,4.651,4.701,4.587,1336.35
2006-09-28,1.244,0.6327,0.4254,94.41,0.893,117.48,0.7873,0.5293,1.1115,1.2441,1.63,1.999,2.37,8413.07,4.594,4.645,4.604,1336.59
2006-09-29,1.2472,0.631,0.4272,94.38,0.8899,117.74,0.7874,0.5331,1.1107,1.2466,1.71,2.004,2.37,8416.68,4.455,4.666,4.618,1338.88
2006-10-02,1.2499,0.6305,0.4266,94.46,0.8938,118.12,0.7885,0.5333,1.1178,1.2506,1.62,2.022,2.409,8425.91,4.581,4.691,4.633,1335.85
2006-10-03,1.2435,0.6311,0.4261,94.64,0.8971,117.7,0.7849,0.53,1.116,1.2429,1.71,2.056,2.376,8381.15,4.632,4.654,4.612,1331.32
2006-10-04,1.2455,0.6306,0.4251,94.66,0.9008,117.95,0.7855,0.5297,1.1225,1.2451,1.71,2.013,2.413,8390.22,4.691,4.666,4.618,1334.11
2006-10-05,1.2484,0.6297,0.4243,94.34,0.902,117.81,0.7865,0.53,1.1267,1.2485,1.7,2.003,2.375,8448.91,4.773,4.596,4.563,1350.2
2006-10-06,1.2522,0.6291,0.4248,94.0,0.8984,117.74,0.788,0.5322,1.1258,1.2517,1.68,1.996,2.381,8511.05,4.792,4.658,4.61,1353.22
2006-10-10,1.2618,0.629,0.4242,94.38,0.8895,119.12,0.7939,0.5354,1.1229,1.2618,1.7,2.023,2.397,8548.91,4.718,4.75,4.704,1350.66
2006-10-11,1.271,0.6273,0.4242,94.12,0.8912,119.67,0.7977,0.5395,1.1336,1.27,1.72,2.048,2.437,8627.2,4.789,4.83,4.758,1353.42
2006-10-12,1.2726,0.6275,0.4237,94.09,0.8936,119.76,0.7987,0.5393,1.1376,1.2727,1.7,2.085,2.447,8638.0,4.885,4.856,4.782,1349.95
2006-10-13,1.2689,0.6276,0.4238,93.99,0.893,119.32,0.7965,0.5379,1.134,1.2685,1.71,2.048,2.462,8673.73,4.925,4.839,4.776,1362.83
2006-10-16,1.2739,0.6276,0.4228,93.9,0.8923,119.64,0.7998,0.5388,1.1374,1.273,1.66,2.068,2.498,8651.14,4.938,4.87,4.802,1365.62
2006-10-17,1.2702,0.6278,0.4226,93.68,0.8947,119.03,0.7978,0.5371,1.1372,1.2712,1.69,2.045,2.503,8632.07,4.994,4.853,4.782,1369.06
2006-10-18,1.2689,0.6286,0.4213,93.39,0.8988,118.53,0.7978,0.5348,1.1413,1.2685,1.67,2.034,2.473,8535.26,5.059,4.844,4.772,1364.05
2006-10-19,1.2697,0.6281,0.4214,93.59,0.8941,118.86,0.7976,0.5352,1.1361,1.2702,1.66,2.034,2.498,8620.23,5.033,4.849,4.76,1365.8
