"Date","Price","Open","High","Low","Change %"
"Dec 15, 2016","-1.090","-1.090","-1.090","-1.090","-9.17%"
"Dec 14, 2016","-1.200","-1.200","-1.200","-1.200","9.09%"
"Dec 13, 2016","-1.100","-1.100","-1.100","-1.100","0.92%"
"Dec 12, 2016","-1.090","-1.090","-1.090","-1.090","-7.63%"
"Dec 09, 2016","-1.180","-1.180","-1.180","-1.180","7.27%"
"Dec 08, 2016","-1.100","-1.100","-1.100","-1.100","-10.57%"
"Dec 07, 2016","-1.230","-1.230","-1.230","-1.230","0.82%"
"Dec 06, 2016","-1.220","-1.220","-1.220","-1.220","-1.61%"
"Dec 05, 2016","-1.240","-1.240","-1.240","-1.240","-8.15%"
"Dec 02, 2016","-1.350","-1.350","-1.350","-1.350","3.85%"
"Dec 01, 2016","-1.300","-1.300","-1.300","-1.300","0.78%"
"Nov 30, 2016","-1.290","-1.290","-1.290","-1.290","17.27%"
"Nov 29, 2016","-1.100","-1.100","-1.100","-1.100","23.60%"
"Nov 28, 2016","-0.890","-0.890","-0.890","-0.890","1.14%"
"Nov 25, 2016","-0.880","-0.880","-0.880","-0.880","-3.30%"
"Nov 24, 2016","-0.910","-0.910","-0.910","-0.910","-3.19%"
"Nov 23, 2016","-0.940","-0.940","-0.940","-0.940","2.17%"
"Nov 22, 2016","-0.920","-0.920","-0.920","-0.920","-8.91%"
"Nov 21, 2016","-1.010","-1.010","-1.010","-1.010","7.45%"
"Nov 18, 2016","-0.940","-0.940","-0.940","-0.940","5.62%"
"Nov 17, 2016","-0.890","-0.890","-0.890","-0.890","0.00%"
"Nov 16, 2016","-0.890","-0.890","-0.890","-0.890","-3.26%"
"Nov 15, 2016","-0.920","-0.920","-0.920","-0.920","2.22%"
"Nov 14, 2016","-0.900","-0.900","-0.900","-0.900","-10.89%"
"Nov 11, 2016","-1.010","-1.010","-1.010","-1.010","7.45%"
"Nov 10, 2016","-0.940","-0.940","-0.940","-0.940","0.00%"
"Nov 09, 2016","-0.940","-0.940","-0.940","-0.940","1.08%"
"Nov 08, 2016","-0.930","-0.930","-0.930","-0.930","4.49%"
"Nov 07, 2016","-0.890","-0.890","-0.890","-0.890","0.00%"
"Nov 04, 2016","-0.890","-0.890","-0.890","-0.890","-3.26%"
"Nov 03, 2016","-0.920","-0.920","-0.920","-0.920","2.22%"
"Nov 02, 2016","-0.900","-0.900","-0.900","-0.900","7.14%"
"Nov 01, 2016","-0.840","-0.840","-0.840","-0.840","-4.55%"
"Oct 31, 2016","-0.880","-0.880","-0.880","-0.880","3.53%"
"Oct 28, 2016","-0.850","-0.850","-0.850","-0.850","0.00%"
"Oct 27, 2016","-0.850","-0.850","-0.850","-0.850","1.19%"
"Oct 26, 2016","-0.840","-0.840","-0.840","-0.840","-2.33%"
"Oct 25, 2016","-0.860","-0.860","-0.860","-0.860","4.88%"
"Oct 24, 2016","-0.820","-0.820","-0.820","-0.820","-2.38%"
"Oct 22, 2016","-0.840","-0.840","-0.840","-0.840","-4.55%"
"Oct 21, 2016","-0.880","-0.880","-0.880","-0.880","2.33%"
"Oct 20, 2016","-0.860","-0.860","-0.860","-0.860","-1.15%"
"Oct 19, 2016","-0.870","-0.870","-0.870","-0.870","3.57%"
"Oct 18, 2016","-0.840","-0.840","-0.840","-0.840","-1.18%"
"Oct 17, 2016","-0.850","-0.850","-0.850","-0.850","1.19%"
"Oct 15, 2016","-0.840","-0.840","-0.840","-0.910","-2.33%"
"Oct 14, 2016","-0.860","-0.860","-0.860","-0.860","1.18%"
"Oct 13, 2016","-0.850","-0.850","-0.850","-0.850","1.19%"
"Oct 12, 2016","-0.840","-0.840","-0.840","-0.840","-5.62%"
"Oct 11, 2016","-0.890","-0.890","-0.890","-0.890","0.00%"
"Oct 10, 2016","-0.890","-0.890","-0.890","-0.890","5.95%"
"Oct 07, 2016","-0.840","-0.840","-0.840","-0.840","-3.45%"
"Oct 06, 2016","-0.870","-0.870","-0.870","-0.870","-2.25%"
"Oct 05, 2016","-0.890","-0.890","-0.890","-0.890","11.25%"
"Oct 04, 2016","-0.800","-0.800","-0.800","-0.800","-14.89%"
"Oct 03, 2016","-0.940","-0.940","-0.940","-0.940","-1.05%"
"Sep 30, 2016","-0.950","-0.950","-0.950","-0.950","4.40%"
"Sep 29, 2016","-0.910","-0.910","-0.910","-0.910","-8.08%"
"Sep 28, 2016","-0.990","-0.990","-0.990","-0.990","6.45%"
"Sep 27, 2016","-0.930","-0.930","-0.930","-0.930","-2.11%"
"Sep 26, 2016","-0.950","-0.950","-0.950","-0.950","-1.04%"
"Sep 25, 2016","-0.960","-0.960","-0.960","-0.960","0.00%"
"Sep 24, 2016","-0.960","-0.960","-0.960","-0.960","0.00%"
"Sep 23, 2016","-0.960","-0.960","-0.960","-0.960","0.00%"
"Sep 22, 2016","-0.960","-0.960","-0.960","-0.960","3.23%"
"Sep 21, 2016","-0.930","-0.930","-0.930","-0.930","-2.11%"
"Sep 20, 2016","-0.950","-0.950","-0.950","-0.950","-5.00%"
"Sep 19, 2016","-1.000","-1.000","-1.000","-1.000","1.01%"
"Sep 17, 2016","-0.990","-0.990","-0.990","-1.070","-7.48%"
"Sep 16, 2016","-1.070","-1.070","-1.070","-1.070","3.88%"
"Sep 15, 2016","-1.030","-1.030","-1.030","-1.030","4.04%"
"Sep 14, 2016","-0.990","-0.990","-0.990","-0.990","-1.00%"
"Sep 13, 2016","-1.000","-1.000","-1.000","-1.000","6.38%"
"Sep 12, 2016","-0.940","-0.940","-0.940","-0.940","1.08%"
"Sep 09, 2016","-0.930","-0.930","-0.930","-0.930","-7.00%"
"Sep 08, 2016","-1.000","-1.000","-1.000","-1.000","1.01%"
"Sep 07, 2016","-0.990","-0.990","-0.990","-0.990","-1.00%"
"Sep 06, 2016","-1.000","-1.000","-1.000","-1.000","1.01%"
"Sep 05, 2016","-0.990","-0.990","-0.990","-0.990","-5.71%"
"Sep 03, 2016","-1.050","-1.040","-1.040","-1.120","-1.87%"
"Sep 02, 2016","-1.070","-1.070","-1.070","-1.070","2.88%"
"Sep 01, 2016","-1.040","-1.040","-1.040","-1.040","-10.34%"
"Aug 31, 2016","-1.160","-1.160","-1.160","-1.160","17.17%"
"Aug 30, 2016","-0.990","-0.990","-0.990","-0.990","-1.00%"
"Aug 29, 2016","-1.000","-1.000","-1.000","-1.000","-3.85%"
"Aug 28, 2016","-1.040","-1.040","-1.040","-1.040","4.00%"
"Aug 27, 2016","-1.000","-1.000","-0.990","-1.070","1.01%"
"Aug 26, 2016","-0.990","-0.990","-0.990","-0.990","0.00%"
"Aug 25, 2016","-0.990","-0.990","-0.990","-0.990","-2.94%"
"Aug 24, 2016","-1.020","-1.020","-1.020","-1.020","2.00%"
"Aug 23, 2016","-1.000","-1.000","-1.000","-1.000","1.01%"
"Aug 22, 2016","-0.990","-0.990","-0.990","-0.990","0.00%"
"Aug 21, 2016","-0.990","-0.990","-0.990","-1.070","-3.88%"
"Aug 20, 2016","-1.030","-1.000","-0.990","-1.070","4.04%"
"Aug 19, 2016","-0.990","-0.990","-0.990","-0.990","0.00%"
"Aug 18, 2016","-0.990","-0.990","-0.990","-0.990","4.21%"
"Aug 17, 2016","-0.950","-0.950","-0.950","-0.950","1.06%"
"Aug 16, 2016","-0.940","-0.940","-0.940","-0.940","-6.00%"
"Aug 15, 2016","-1.000","-1.000","-1.000","-1.000","6.38%"
"Aug 14, 2016","-0.940","-0.940","-0.940","-0.940","-1.05%"
"Aug 13, 2016","-0.950","-0.950","-0.940","-0.950","1.06%"
"Aug 12, 2016","-0.940","-0.940","-0.940","-0.940","0.00%"
"Aug 11, 2016","-0.940","-0.940","-0.940","-0.940","-3.09%"
"Aug 10, 2016","-0.970","-0.970","-0.970","-0.970","3.19%"
"Aug 09, 2016","-0.940","-0.940","-0.940","-0.940","-6.00%"
"Aug 08, 2016","-1.000","-1.000","-1.000","-1.000","1.01%"
"Aug 06, 2016","-0.990","-1.000","-0.990","-1.070","0.00%"
"Aug 05, 2016","-0.990","-0.990","-0.990","-0.990","-7.48%"
"Aug 04, 2016","-1.070","-1.070","-1.070","-1.070","13.83%"
"Aug 03, 2016","-0.940","-0.940","-0.940","-0.940","-5.05%"
"Aug 02, 2016","-0.990","-0.990","-0.990","-0.990","-1.00%"
"Aug 01, 2016","-1.000","-0.990","-0.990","-1.070","1.01%"
"Jul 29, 2016","-0.990","-0.990","-0.990","-0.990","10.00%"
"Jul 28, 2016","-0.900","-0.900","-0.900","-0.900","7.14%"
"Jul 27, 2016","-0.840","-0.840","-0.840","-0.840","-6.67%"
"Jul 26, 2016","-0.900","-0.900","-0.900","-0.900","1.12%"
"Jul 25, 2016","-0.890","-0.890","-0.890","-0.890","-10.10%"
"Jul 24, 2016","-0.990","-0.990","-0.990","-0.990","4.21%"
"Jul 23, 2016","-0.950","-0.950","-0.940","-0.990","1.06%"
"Jul 22, 2016","-0.940","-0.940","-0.940","-0.940","-1.05%"
"Jul 21, 2016","-0.950","-0.950","-0.950","-0.950","0.00%"
"Jul 20, 2016","-0.950","-0.950","-0.950","-0.950","0.00%"
"Jul 19, 2016","-0.950","-0.950","-0.950","-0.950","-5.00%"
"Jul 18, 2016","-1.000","-1.000","-1.000","-1.000","6.38%"
"Jul 17, 2016","-0.940","-0.940","-0.940","-0.940","-1.05%"
"Jul 16, 2016","-0.950","-0.940","-0.940","-1.010","-4.04%"
"Jul 15, 2016","-0.990","-0.990","-0.990","-0.990","-1.98%"
"Jul 14, 2016","-1.010","-1.010","-1.010","-1.010","5.21%"
"Jul 13, 2016","-0.960","-0.960","-0.960","-0.960","-7.69%"
"Jul 12, 2016","-1.040","-1.040","-1.040","-1.040","-5.45%"
"Jul 11, 2016","-1.100","-1.100","-1.100","-1.100","-2.65%"
"Jul 08, 2016","-1.130","-1.130","-1.130","-1.130","-0.88%"
"Jul 07, 2016","-1.140","-1.140","-1.140","-1.140","0.00%"
"Jul 06, 2016","-1.140","-1.140","-1.140","-1.140","4.59%"
"Jul 05, 2016","-1.090","-1.090","-1.090","-1.090","-9.17%"
"Jul 04, 2016","-1.200","-1.200","-1.200","-1.200","-3.23%"
"Jul 02, 2016","-1.240","-1.270","-1.240","-1.320","-0.80%"
"Jul 01, 2016","-1.250","-1.250","-1.250","-1.250","0.81%"
"Jun 30, 2016","-1.240","-1.240","-1.240","-1.240","-0.80%"
"Jun 29, 2016","-1.250","-1.250","-1.250","-1.250","-3.85%"
"Jun 28, 2016","-1.300","-1.300","-1.300","-1.300","13.04%"
"Jun 27, 2016","-1.150","-1.150","-1.150","-1.150","0.00%"
"Jun 24, 2016","-1.150","-1.150","-1.150","-1.150","8.49%"
"Jun 23, 2016","-1.060","-1.060","-1.060","-1.060","-14.52%"
"Jun 22, 2016","-1.240","-1.240","-1.240","-1.240","3.33%"
"Jun 21, 2016","-1.200","-1.200","-1.200","-1.200","0.84%"
"Jun 20, 2016","-1.190","-1.190","-1.190","-1.190","-3.25%"
"Jun 18, 2016","-1.230","-1.230","-1.230","-1.230","0.00%"
"Jun 17, 2016","-1.230","-1.230","-1.230","-1.230","0.00%"
"Jun 16, 2016","-1.230","-1.230","-1.230","-1.230","7.89%"
"Jun 15, 2016","-1.140","-1.140","-1.140","-1.140","8.57%"
"Jun 14, 2016","-1.050","-1.050","-1.050","-1.050","5.00%"
"Jun 13, 2016","-1.000","-1.000","-1.000","-1.000","-2.91%"
"Jun 11, 2016","-1.030","-1.030","-1.030","-1.030","0.00%"
"Jun 10, 2016","-1.030","-1.030","-1.030","-1.030","0.00%"
"Jun 09, 2016","-1.030","-1.030","-1.030","-1.030","1.98%"
"Jun 08, 2016","-1.010","-1.010","-1.010","-1.010","6.32%"
"Jun 07, 2016","-0.950","-0.950","-0.950","-0.950","-1.04%"
"Jun 06, 2016","-0.960","-0.960","-0.960","-0.960","7.87%"
"Jun 04, 2016","-0.890","-0.890","-0.890","-0.890","-6.32%"
"Jun 03, 2016","-0.950","-0.950","-0.950","-0.950","6.74%"
"Jun 02, 2016","-0.890","-0.890","-0.890","-0.890","0.00%"
"Jun 01, 2016","-0.890","-0.890","-0.890","-0.890","-4.30%"
"May 31, 2016","-0.930","-0.930","-0.930","-0.930","3.33%"
"May 30, 2016","-0.900","-0.900","-0.900","-0.900","-8.16%"
"May 29, 2016","-0.980","-0.950","-0.950","-0.980","8.89%"
"May 28, 2016","-0.900","-0.920","-0.890","-0.960","0.00%"
"May 27, 2016","-0.900","-0.900","-0.900","-0.900","0.00%"
"May 26, 2016","-0.900","-0.900","-0.900","-0.900","-4.26%"
"May 25, 2016","-0.940","-0.940","-0.940","-0.940","5.62%"
"May 24, 2016","-0.890","-0.890","-0.890","-0.890","-1.11%"
"May 23, 2016","-0.900","-0.900","-0.900","-0.900","-5.26%"
"May 22, 2016","-0.950","-0.950","-0.950","-0.950","6.74%"
"May 21, 2016","-0.890","-0.890","-0.890","-0.890","0.00%"
"May 20, 2016","-0.890","-0.890","-0.890","-0.890","0.00%"
"May 19, 2016","-0.890","-0.890","-0.890","-0.890","0.00%"
"May 18, 2016","-0.890","-0.890","-0.890","-0.890","-3.26%"
"May 17, 2016","-0.920","-0.920","-0.920","-0.920","2.22%"
"May 16, 2016","-0.900","-0.950","-0.900","-0.950","-5.26%"
"May 15, 2016","-0.950","-0.890","-0.890","-0.950","-1.04%"
"May 14, 2016","-0.960","-0.900","-0.890","-0.960","7.87%"
