Date,Close,US_infl,CH_infl,US_IR,SARON_close
2007-05-14,1.2186,0.611071867,0.2,4.72,2.140458
2007-05-15,1.21473,0.611071867,0.2,4.79,2.204008
2007-05-16,1.2222,0.611071867,0.2,4.73,2.224371
2007-05-17,1.22712,0.611071867,0.2,4.8,2.224371
2007-05-18,1.227,0.611071867,0.2,4.78,2.429751
2007-05-21,1.2299,0.611071867,0.2,4.85,2.133684
2007-05-22,1.2297,0.611071867,0.2,5.01,2.076459
2007-05-23,1.2275,0.611071867,0.2,5.0,2.037621
2007-05-24,1.2275,0.611071867,0.2,4.99,1.990729
2007-05-25,1.2269,0.611071867,0.2,4.97,1.946435
2007-05-28,1.22844,0.611071867,0.2,4.97,1.946435
2007-05-29,1.225,0.611071867,0.2,4.95,2.173639
2007-05-30,1.2258,0.611071867,0.2,4.94,2.133035
2007-05-31,1.2251,0.611071867,0.2,4.78,2.165807
2007-06-01,1.2358,0.193797518,0.1,4.8,2.158066
2007-06-04,1.2227,0.193797518,0.1,4.78,2.123463
2007-06-05,1.218,0.193797518,0.1,4.75,1.972859
2007-06-06,1.2167,0.193797518,0.1,4.78,1.873646
2007-06-07,1.2239,0.193797518,0.1,4.8,2.165801
2007-06-08,1.2347,0.193797518,0.1,4.76,2.185448
2007-06-11,1.2381,0.193797518,0.1,4.7,1.923417
2007-06-12,1.2418,0.193797518,0.1,4.65,1.630734
2007-06-13,1.244,0.193797518,0.1,4.62,1.752827
2007-06-14,1.2461,0.193797518,0.1,4.51,1.603724
2007-06-15,1.2419,0.193797518,0.1,4.46,2.383656
2007-06-18,1.2416,0.193797518,0.1,4.47,2.162249
2007-06-19,1.2402,0.193797518,0.1,4.44,2.030591
2007-06-20,1.2384,0.193797518,0.1,4.42,2.404978
2007-06-21,1.2412,0.193797518,0.1,4.17,2.520078
2007-06-22,1.2292,0.193797518,0.1,4.29,2.596227
2007-06-25,1.2279,0.193797518,0.1,4.43,2.590256
2007-06-26,1.2286,0.193797518,0.1,4.53,2.554158
2007-06-27,1.2292,0.193797518,0.1,4.24,2.506404
2007-06-28,1.2314,0.193797518,0.1,4.08,2.479485
2007-06-29,1.2215,0.193797518,0.1,4.28,2.418879
